timestamp,scenario,V_CO_raw,V_NO2_raw,V_PM_raw,T_raw,RH_raw,C_CO_true,C_NO2_true,PM_true
0.0,2,0.39257752785034167,0.2909755254675547,0.11542247505315503,20.168880159967657,69.68951643568741,5.0,30.0,15.0
1.0,2,0.37599487290949585,0.2666682845771204,0.10305704800134188,19.69652859020592,68.94574146184368,5.0,30.0,15.0
2.0,2,0.3980508240912079,0.26535982984665524,0.10957870125323284,20.25500669001179,69.84869908249799,5.0,30.0,15.0
3.0,2,0.37879029471667003,0.25178523795869867,0.10666769257005682,20.275666093176525,69.40883090321451,5.0,30.0,15.0
4.0,2,0.3988542890616769,0.2702622026541921,0.11557247807048149,19.58654030838383,70.42891947584305,5.0,30.0,15.0
5.0,2,0.3834645364630392,0.24630673254396704,0.11668290361509091,19.64942382868296,69.03133910566233,5.0,30.0,15.0
6.0,2,0.3617257484905551,0.2583982225439903,0.12005162207397396,20.375821531734786,69.98983412212846,5.0,30.0,15.0
7.0,2,0.372770460236536,0.23441658673990884,0.11458379035964451,20.151702255372065,69.07494449610407,5.0,30.0,15.0
8.0,2,0.3810157333696907,0.2735230563246118,0.11277930489968896,20.050189079634194,69.26691242850785,5.0,30.0,15.0
9.0,2,0.4079600411999787,0.25853810386523585,0.12956396867938602,20.508993414887488,70.1472916277054,5.0,30.0,15.0
10.0,2,0.40091961383293834,0.29236805327395754,0.0957411017980282,20.56585923793107,70.06805106617549,5.0,30.0,15.0
11.0,2,0.4117256357785822,0.30055554239339516,0.1279017512762924,19.955184943649147,69.3996444840883,5.0,30.0,15.0
12.0,2,0.4121374997404478,0.26796774710866295,0.108008392111316,19.813973431178752,69.53058938166733,5.0,30.0,15.0
13.0,2,0.37927696802488625,0.25406164830415806,0.11657648393868304,19.629040511581177,68.3297268882238,5.0,30.0,15.0
14.0,2,0.38443618747861746,0.23376363647748866,0.10757192649406401,20.296727060100743,71.16943097724737,5.0,30.0,15.0
15.0,2,0.38105955347879195,0.2707717080651765,0.10376406057948374,19.588419861425713,70.43745639787802,5.0,30.0,15.0
16.0,2,0.3771213569204838,0.2568741891979045,0.11559620072794231,20.369714229114518,70.38478138420444,5.0,30.0,15.0
17.0,2,0.3595368607037031,0.2634209812630892,0.12113266216114443,20.948418395712224,68.12163444971046,5.0,30.0,15.0
18.0,2,0.3869033326047473,0.28724781942912486,0.11540240724967406,20.183270114856857,69.10451000751071,5.0,30.0,15.0
19.0,2,0.36780633318808337,0.23615539374673303,0.10521211680817118,20.111897859729922,69.34878730440971,5.0,30.0,15.0
20.0,2,0.386542509276985,0.23414956463037326,0.14670772062815668,21.39892238681357,67.73560517463265,5.0,30.0,15.0
21.0,2,0.41875692173719475,0.24789891835258637,0.12254090038366255,21.174850909593825,70.5399500960761,5.0,30.0,15.0
22.0,2,0.37934545693003935,0.26904324987503647,0.11984952874207255,20.05770106472229,71.08721782188148,5.0,30.0,15.0
23.0,2,0.389872518928171,0.26370836208428977,0.10694740376757791,20.52950659052949,71.67860162267027,5.0,30.0,15.0
24.0,2,0.4005159117871393,0.23468903808608454,0.10418632691710959,20.64433912117404,68.55411617248225,5.0,30.0,15.0
25.0,2,0.39108583422323867,0.2677256580140496,0.1076005311165706,20.60183021136309,69.7006568301676,5.0,30.0,15.0
26.0,2,0.3912340081941344,0.22856213594213476,0.12117392274392483,21.427336723856396,70.88948493581708,5.0,30.0,15.0
27.0,2,0.38137599108842885,0.23582335179302283,0.10041474770424173,20.58361494620971,69.29638152105305,5.0,30.0,15.0
28.0,2,0.38329914187408154,0.2502608325362162,0.09959968488545681,20.67861743781551,68.96634541949065,5.0,30.0,15.0
29.0,2,0.3723424392609327,0.2414931482004956,0.11563812900861016,20.924331147573206,67.65064899312218,5.0,30.0,15.0
30.0,2,0.3993985595083411,0.2703507577730187,0.11339554694642119,21.194959858023836,70.63262245777175,5.0,30.0,15.0
31.0,2,0.36055079849453864,0.25827293318002187,0.10246137429609103,21.08844959715205,69.46407257725997,5.0,30.0,15.0
32.0,2,0.401204789075733,0.28784838323254514,0.09921339941584775,20.90904239315582,68.7373248077036,5.0,30.0,15.0
33.0,2,0.3655482805725714,0.24758524917291172,0.12446532900868436,19.880650097303043,69.73385728982886,5.0,30.0,15.0
34.0,2,0.4010081594861498,0.25007671089918515,0.11361732555299563,20.435931137970787,69.586338706512,5.0,30.0,15.0
35.0,2,0.3812270832005672,0.2767202041812353,0.09637284323771968,21.10971060360264,69.58492576902127,5.0,30.0,15.0
36.0,2,0.36802161317800375,0.2506859346575241,0.0970328654391771,20.845199348639653,69.18290193767334,5.0,30.0,15.0
37.0,2,0.3951544222699445,0.282376255034151,0.10631491835049534,21.15306431691148,71.0056914920967,5.0,30.0,15.0
38.0,2,0.40036175640113664,0.2633045142876898,0.11721937176997631,21.70358303083562,69.23300693340424,5.0,30.0,15.0
39.0,2,0.3798243661221969,0.20542402132229276,0.11580195569608279,20.19151839747034,70.9693220763233,5.0,30.0,15.0
40.0,2,0.397170008230184,0.2760229602829893,0.12112956537001213,21.368955087402288,69.89745025973353,5.0,30.0,15.0
41.0,2,0.3520498884237097,0.2707178901823961,0.09487019260039203,20.654818268753186,69.6678368094284,5.0,30.0,15.0
42.0,2,0.36648251902880097,0.2714818086022109,0.11197306659779656,21.30767490963737,69.18672524672183,5.0,30.0,15.0
43.0,2,0.40564290655078095,0.21422739210909486,0.12395461039821362,20.839389628315942,70.25729002687925,5.0,30.0,15.0
44.0,2,0.3828670443870313,0.23917896429457905,0.122984430104761,21.9435022694465,69.37965843424466,5.0,30.0,15.0
45.0,2,0.3582541961970173,0.24065647132886456,0.11320641668912686,20.96504346813087,68.31786878488647,5.0,30.0,15.0
46.0,2,0.37566971766837015,0.2355999457687922,0.13305840438653876,20.59974288782201,68.2678411423353,5.0,30.0,15.0
47.0,2,0.3722670192558738,0.2872526295178788,0.1156319712391586,21.14993731139588,69.63915128860094,5.0,30.0,15.0
48.0,2,0.38359391802790616,0.2521706285235273,0.11992748552841342,21.121971390359136,68.29262111483351,5.0,30.0,15.0
49.0,2,0.3804873985866353,0.25166657346741655,0.10990539586275508,21.54904854705522,69.12110227636084,5.0,30.0,15.0
50.0,2,0.3886979603090725,0.2634297662063156,0.10161205957155713,21.224026399302463,70.22385120521776,5.0,30.0,15.0
51.0,2,0.38493731631956135,0.26376744167778765,0.10063061466721254,22.257532319584655,69.45397017789433,5.0,30.0,15.0
52.0,2,0.40634072032555524,0.18567536306748333,0.1111597513479442,20.984297932298862,68.4111984630046,5.0,30.0,15.0
53.0,2,0.392278186589545,0.23943787613701273,0.10718947000649794,21.010190025109765,70.5266541782828,5.0,30.0,15.0
54.0,2,0.39274035954290376,0.22410106556417447,0.09157952260086519,20.77805697497347,69.6478752369947,5.0,30.0,15.0
55.0,2,0.4033179717021678,0.26035476986309636,0.0989683310257426,21.14283416917709,70.10112632053742,5.0,30.0,15.0
